District,date,Vehicle,Industry,Residential,Sum_of_Sources,Vehicle_percentage,Industry_percentage,Residential_percentage
Khushab,2024-11-24 00:00:00,211.8999993801117,103.31999945640564,47.86499972343446,363.08499855995177,58.36098991160144,28.456146595477055,13.182863492921507
Khushab,2024-11-24 01:00:00,214.6900002002716,103.51000018119812,48.26000008583069,366.46000046730046,58.58483870722709,28.24592044130459,13.169240851468308
Khushab,2024-11-24 02:00:00,216.46499996185304,103.72499990463257,48.66499996185303,368.85499982833863,58.68566240462882,28.120806266122223,13.193531329248954
Khushab,2024-11-24 03:00:00,215.38999981880187,103.88999991416932,48.5449999332428,367.824999666214,58.55773805865816,28.244409707998425,13.197852233343404
Khushab,2024-11-24 04:00:00,209.63000006675722,103.72000002861023,47.19500002861023,360.54500012397773,58.142534217552154,28.7675602193748,13.089905563073032
Khushab,2024-11-24 05:00:00,200.16999964714051,102.649999666214,44.819999837875365,347.63999915122986,57.5796801679495,29.527672280760576,12.89264755128993
Khushab,2024-11-24 06:00:00,190.7000000834465,101.19000016450882,42.60500005483628,334.4950003027916,57.01131553859431,30.25157328896085,12.737111172444843
Khushab,2024-11-24 07:00:00,180.49999989867212,98.33999982476236,40.37999994158746,319.21999966502193,56.54407621329565,30.80634043229022,12.64958335441413
Khushab,2024-11-24 08:00:00,169.41999977827072,94.25999985933302,37.96499990224839,301.6449995398521,56.16535995515074,31.248653219222277,12.585986825626991
Khushab,2024-11-24 09:00:00,160.97999992370606,90.67999992370605,36.064999961853026,287.7249998092651,55.94925711370955,31.51620470373393,12.534538182556526
Khushab,2024-11-24 10:00:00,157.49999997615814,88.33999998569489,35.15499999523163,280.99499995708464,56.05081940967368,31.438281819671786,12.51089877065454
Khushab,2024-11-24 11:00:00,156.50999996662142,86.34000003337859,34.764999985694885,277.6149999856949,56.37663669999321,31.100624979856118,12.522738320150667
Khushab,2024-11-24 12:00:00,160.30999991893768,88.67000000476837,36.42499997615814,285.40499989986415,56.16930326209537,31.068131264651534,12.762565473253112
Khushab,2024-11-24 13:00:00,159.56500029563904,87.68500037193297,36.710000181198126,283.96000084877016,56.19277356623874,30.879349242794152,12.927877190967093
Khushab,2024-11-24 14:00:00,156.2749997138977,84.49499979019166,36.264999866485596,277.03499937057495,56.409839936814976,30.499756342037927,13.090403721147103
Khushab,2024-11-24 15:00:00,153.85500025749207,81.23500027656556,35.57500014305115,270.66500067710876,56.843330269004454,30.013115871407138,13.143553859588419
Khushab,2024-11-24 16:00:00,157.72499980926514,81.23499984741211,35.99499988555908,274.95499954223635,57.36393230596148,29.544834602992353,13.091233091046167
Khushab,2024-11-24 17:00:00,164.30999970436096,82.81999974250795,37.02499985694886,284.15499930381776,57.824074926333125,29.146064628606805,13.029860445060068
Khushab,2024-11-24 18:00:00,165.88499975204468,82.59499979019165,37.04999990463257,285.5299994468689,58.097222734353124,28.926907838123974,12.975869427522902
Khushab,2024-11-24 19:00:00,156.6449999809265,77.95500001907348,34.880000019073485,269.4800000190735,58.1286180680716,28.927935287797208,12.943446644131186
Khushab,2024-11-24 20:00:00,143.2449999809265,72.15500001907347,31.980000019073493,247.38000001907346,57.90484273986662,29.16767726312159,12.927479997011792
Khushab,2024-11-24 21:00:00,132.4800001621246,67.64000020027161,29.710000085830693,229.83000044822694,57.642605362117614,29.430448622180055,12.926946015702317
Khushab,2024-11-24 22:00:00,127.70999991893768,65.76999995708466,28.699999976158146,222.17999985218052,57.480421281800766,29.60212440401583,12.917454314183392
Khushab,2024-11-24 23:00:00,125.88500008583068,65.34500012397767,28.325000047683716,219.55500025749205,57.336430479011604,29.76247411689174,12.90109540409666
Sialkot,2024-11-24 00:00:00,213.98999996185302,120.30500020980836,46.325,380.6200001716614,56.22142816072264,31.607640206912468,12.170931632364882
Sialkot,2024-11-24 01:00:00,239.03999919891356,130.37999868392947,50.94999980926514,420.3699976921082,56.864191191397474,31.015533791596557,12.120275017005962
Sialkot,2024-11-24 02:00:00,274.65999937057495,150.14999947547915,57.78499984741212,482.5949986934662,56.91314665799779,31.113045075473554,11.973808266528655
Sialkot,2024-11-24 03:00:00,300.4200011253357,164.71000237464906,63.08000030517579,528.2100038051606,56.875106295061926,31.18267378279439,11.942219922143682
Sialkot,2024-11-24 04:00:00,306.92999930381774,165.82499897480014,65.32999982833863,538.0849981069565,57.041173863540514,30.817621669102675,12.141204467356813
Sialkot,2024-11-24 05:00:00,301.44000043869016,159.05000042915344,65.55500011444092,526.0450009822845,57.303082412305194,30.235055961402384,12.461861626292423
Sialkot,2024-11-24 06:00:00,291.62999963760376,149.6549991130829,64.72999992370606,506.0149986743927,57.63267895251856,29.575210123244183,12.792110924237269
Sialkot,2024-11-24 07:00:00,278.5700006008148,150.42500097751616,63.3400001525879,492.33500173091886,56.58139267397947,30.55338345814575,12.865223867874784
Sialkot,2024-11-24 08:00:00,260.9600007534027,148.94000127315525,60.8650002002716,470.76500222682955,55.43317781037255,31.6378661473631,12.928956042264355
Sialkot,2024-11-24 09:00:00,257.95000009536744,150.24500002861024,60.685000038146974,468.8800001621247,55.01407609754651,32.043379964310695,12.942543938142789
Sialkot,2024-11-24 10:00:00,285.44000020027164,161.58000032901762,65.72500004768372,512.745000576973,55.668997236262975,31.51274027970972,12.818262484027306
Sialkot,2024-11-24 11:00:00,330.71000080108644,180.51500129699707,73.85500020980835,585.0800023078918,56.52389408227526,30.853045837311505,12.62306008041324
Sialkot,2024-11-24 12:00:00,386.5800001144409,233.11000051498416,84.88500003814698,704.5750006675721,54.86711843993376,33.08519324331925,12.04768831674697
Sialkot,2024-11-24 13:00:00,413.5599987030029,250.11999797821048,89.79499969482421,753.4749963760377,54.88702354983085,33.19552728109146,11.917449169077685
Sialkot,2024-11-24 14:00:00,432.6000020980835,261.86000337600706,92.84500045776367,787.3050059318543,54.94693909459626,33.26029955392821,11.792761351475509
Sialkot,2024-11-24 15:00:00,451.0399997711182,273.7299989700318,95.90499992370606,820.674998664856,54.95963694579565,33.354251002572155,11.68611205163219
Sialkot,2024-11-24 16:00:00,478.2800026893616,290.23000407218933,101.12000064849855,869.6300074100495,54.99810248197221,33.37396382359878,11.627933694428998
